Position,Artist,Song Title,
1,Gotye feat. Kimbra,Somebody That I Used To Know,Alternative
2,Carly Rae Jepsen,Call Me Maybe,Pop
3,fun. feat. Janelle Monae,We Are Young,Pop
4,Maroon 5 feat. Wiz Khalifa,Payphone,Pop
5,Ellie Goulding,Lights,Alternative
6,Wanted,Glad You Came,Pop
7,Kelly Clarkson,Stronger (What Doesn't Kill You),Pop
8,Rihanna feat. Calvin Harris,We Found Love,Electronic
9,Nicki Minaj,Starships,Hip Hop
10,One Direction,What Makes You Beautiful,Pop
11,Flo Rida feat. Sia,Wild Ones,Hip Hop
12,Adele,Set Fire To The Rain,Pop
13,LMFAO,Sexy And I Know It,Electronic
14,fun.,Some Nights,R&B
15,Katy Perry,Wide Awake,Pop
16,Flo Rida,Good Feeling,Hip Hop
17,Flo Rida,Whistle,Hip Hop
18,Maroon 5,One More Night,Pop
19,Train,Drive By,Pop
20,Drake feat. Lil Wayne,The Motto,Hip Hop
21,Rihanna,Where Have You Been,Pop
22,Neon Trees,Everybody Talks,Rock
23,Drake feat. Rihanna,Take Care,Hip Hop
24,David Guetta feat. Sia,Titanium,Electronic
25,Jason Mraz,I Won't Give Up,Pop
26,Bruno Mars,It Will Rain,Pop
27,"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,Hip Hop
28,Justin Bieber,Boyfriend,Pop
29,LMFAO feat. Lauren Bennett and GoonRock,Party Rock Anthem,Pop
30,Alex Clare,Too Close,Electronic
31,Katy Perry,Part Of Me,Pop
32,Snoop Dogg and Wiz Khalifa feat. Bruno Mars,"Young, Wild and Free",Hip Hop
33,Taylor Swift,We Are Never Ever Getting Back Together,Pop
34,Justin Bieber feat. Big Sean,As Long as You Love Me,Pop
35,David Guetta feat. Nicki Minaj,Turn Me On,Electronic
36,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,Pop
37,P!nk,Blow Me (One Last Kiss),Pop
38,Owl City and Carly Rae Jepsen,Good Time,Alternative
39,Demi Lovato,Give Your Heart A Break,Pop
40,Jay Z and Kanye West,Ni**As In Paris,Hip Hop
41,Katy Perry,The One That Got Away,Pop
42,Calvin Harris,Feel So Close,Electronic
43,Adele,Someone Like You,Pop
44,Usher,Scream,R&B
45,Tyga,Rack City,Hip Hop
46,Jessie J,Domino,Pop
47,Psy,Gangnam Style,Pop
48,Pitbull feat. Chris Brown,International Love,Electronic
49,Phillip Phillips,Home,Alternative
50,David Guetta feat. Usher,Without You,Electronic
51,Gym Class Heroes feat. Neon Hitch,Ass Back Home,Hip Hop
52,Hunter Hayes,Wanted,Country
53,Luke Bryan,Drunk On You,Country
54,2 Chainz feat. Drake,No Lie,Hip Hop
55,Cher Lloyd,Want U Back,Electronic
56,Chris Brown,Don't Wake Me Up,Hip Hop
57,Big Sean feat. Nicki Minaj,Dance (A$$),Hip Hop
58,Eric Church,Springsteen,Country
59,Karmin,Brokenhearted,Pop
60,Gavin DeGraw,Not Over You,country
61,Gym Class Heroes feat. Adam Levine,Stereo Hearts,Hip Hop
62,Pitbull,Back In Time,Electronic
63,J. Cole,Work Out,Hip Hop
64,Adele,Rumour Has It,Pop
65,Calvin Harris feat. Ne-Yo,Let's Go,Electronic
66,Carrie Underwood,Good Girl,Country
67,Little Big Town,Pontoon,Country
68,Lumineers,Ho Hey,Alternative
69,Coldplay,Paradise,Alternative
70,Carrie Underwood,Blown Away,Country
71,Adele,Rolling In The Deep,Pop
72,Usher,Climax,R&B
73,Wiz Khalifa,"Work Hard, Play Hard",Hip Hop
74,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),R&B
75,Nicki Minaj,Pound The Alarm,Hip Hop
76,Kenny Chesney,Come Over,Country
77,Trey Songz,Heart Attack,R&B
78,Kirko Bangz,Drank In My Cup,Hip Hop
79,Rihanna feat. Chris Brown,Birthday Cake,pop
80,B.o.B,So Good,Hip Hop
81,Train,50 Ways To Say Goodbye,Pop
82,Toby Keith,Red Solo Cup,Country
83,Selena Gomez and The Scene,Love You Like A Love Song,pop
84,Chris Brown,Turn Up The Music,Hip Hop
85,Ke$ha,Die Young,Pop
86,T-Pain feat. Wiz Khalifa and Lily Allen,5 O'Clock,Hip Hop
87,Christina Perri,A Thousand Years,Pop
88,Jason Aldean,Take A Little Ride,Country
89,Rihanna,You Da One,Pop
90,Havana Brown feat. Pitbull,We Run The Night,Electronic
91,Imagine Dragons,It's Time,Rock
92,Ca$h Out,Cashin' Out,Hip Hop
93,Luke Bryan,I Don't Want This Night To End,Country
94,Rihanna,Diamonds,Pop
95,Lee Brice,Hard To Love,Country
96,Kip Moore,Somethin' 'Bout A Truck,Country
97,Miguel,Adorn,R&B
98,Jason Aldean,Fly Over States,Country
99,Eli Young Band,Even If It Breaks Your Heart,Country
100,Linkin Park,Burn It Down,Alternative
