Position,Artist,Song Title,,
1,Macklemore and Ryan Lewis feat. Wanz,Thrift Shop,,hip-hop
2,Robin Thicke feat. T.I. and Pharrell,Blurred Lines,,hip-hop
3,Imagine Dragons,Radioactive,,alternative
4,Baauer,Harlem Shake,,pop
5,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us,,pop
6,Justin Timberlake,Mirrors,,r&b
7,P!nk feat. Nate Ruess,Just Give Me A Reason,,pop
8,Bruno Mars,When I Was Your Man,,pop
9,Florida Georgia Line feat. Nelly,Cruise,,country
10,Katy Perry,Roar,,pop
11,Bruno Mars,Locked Out Of Heaven,,pop
12,Lumineers,Ho Hey,,pop
13,Rihanna feat. Mikky Ekko,Stay,,r&b
14,Daft Punk feat. Pharrell Williams,Get Lucky,,electronic
15,Lorde,Royals,,pop
16,Taylor Swift,I Knew You Were Trouble,,pop
17,Miley Cyrus,We Can't Stop,,pop
18,Miley Cyrus,Wrecking Ball,,pop
19,Avicii,Wake Me Up!,,electronic
20,Justin Timberlake feat. Jay Z,Suit and Tie,,r&b
21,Anna Kendrick,Cups (Pitch Perfect's When I'm Gone),,folk
22,Jay Z feat. Justin Timberlake,Holy Grail,,hip-hop
23,will.i.am and Britney Spears,Scream and Shout,,pop
24,Zedd feat. Foxes,Clarity,,alternative
25,AWOLNATION,Sail,,rock
26,Swedish House Mafia feat. John Martin,Don't You Worry Child,,electronic
27,Rihanna,Diamonds,,pop
28,Icona Pop feat. Charli XCX,I Love It,,pop
29,Capital Cities,Safe And Sound,,indie
30,Bruno Mars,Treasure,,pop
31,Ariana Grande feat. Mac Miller,The Way,,pop
32,Drake,Started From The Bottom,,rap
33,Selena Gomez,Come and Get It,,pop
34,Drake feat. Majid Jordan,"Hold On, We're Going Home",,rap
35,Maroon 5,Daylight,,pop
36,Pitbull feat. Christina Aguilera,Feel This Moment,,electropop
37,Lady Gaga,Applause,,pop
38,Maroon 5,One More Night,,pop
39,Lil Wayne feat. Drake and Future,Love Me,,hip-hop
40,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),,pop
41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",F**kin Problems,,hip-hop
42,Justin Bieber feat. Nicki Minaj,Beauty And A Beat,,pop
43,Macklemore and Ryan Lewis feat. Mary Lambert,Same Love,,hip-hop
44,Calvin Harris feat. Florence Welch,Sweet Nothing,,electronic
45,Lana Del Rey and Cedric Gervais,Summertime Sadness,,indie
46,Phillip Phillips,Home,,indie
47,Imagine Dragons,It's Time,,pop
48,J. Cole feat. Miguel,Power Trip,,rap
49,Alicia Keys feat. Nicki Minaj,Girl On Fire,,r&b
50,Demi Lovato,Heart Attack,,pop
51,Maroon 5,Love Somebody,,pop
52,Mumford and Sons,I Will Wait,,folk
53,P!nk,Try,,pop
54,Darius Rucker,Wagon Wheel,,country
55,Psy,Gangnam Style,,pop
56,Calvin Harris feat. Ellie Goulding,I Need Your Love,,pop
57,Ke$ha,Die Young,,dance
58,fun.,Some Nights,,pop
59,Wale feat. Tiara Thomas or Rihanna,Bad,,hip-hop
60,Blake Shelton feat. Pistol Annies and Friends,Boys 'Round Here,,country
61,Phillip Phillips,"Gone, Gone, Gone",,indie
62,Imagine Dragons,Demons,,pop
63,OneRepublic,Counting Stars,,pop
64,Flo Rida,I Cry,,hip-hop
65,Of Monsters And Men,Little Talks,,alternative
66,Jason Derulo,The Other Side,,pop
67,Eminem,Berzerk,,rap
68,Kelly Clarkson,Catch My Breath,,pop
69,Luke Bryan,Crash My Party,,country
70,Rihanna,Pour It Up,,r&b
71,Taylor Swift,22,,pop
72,Hunter Hayes,I Want Crazy,,country
73,Ylvis,The Fox,,pop
74,One Direction,Best Song Ever,,pop
75,Ed Sheeran,The A Team,,alternative
76,fun.,Carry On,,pop
77,Tim McGraw with Taylor Swift,Highway Don't Care,,country
78,Luke Bryan,That's My Kind Of Night,,country
79,Kendrick Lamar,Swimming Pools (Drank),,rap
80,Blake Shelton,Sure Be Cool If You Did,,country
81,Mariah Carey feat. Miguel,#Beautiful,,r&b
82,Olly Murs feat. Flo Rida,Troublemaker,,pop
83,Ciara,Body Party,,r&b
84,Miguel,Adorn,,r&b
85,Script feat. will.i.am,Hall Of Fame,,pop
86,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),,pop
87,Rocko feat. Future and Rick Ross,U.O.E.N.O.,,hip-hop
88,Emeli Sande,Next To Me,,pop
89,Miranda Lambert,Mama's Broken Heart,,country
90,Thomas Rhett,It Goes Like This,,country
91,Ace Hood feat. Future and Rick Ross,Bugatti,,hip-hop
92,Hunter Hayes,Wanted,,country
93,Lady Antebellum,Downtown,,country
94,Florida Georgia Line,Get Your Shine On,,country
95,will.i.am feat. Justin Bieber,#thatPOWER,,electronic
96,Sara Bareilles,Brave,,pop
97,Passenger,Let Her Go,,alternative
98,Randy Houser,Runnin' Outta Moonlight,,country
99,2 Chainz,I'm Different,,rap
100,Paramore,Still Into You,,pop
