Position,Artist,Song Title,Genre
1,Mark Ronson feat. Bruno Mars,Uptown Funk!,Pop
2,Ed Sheeran,Thinking Out Loud,Pop
3,Wiz Khalifa feat. Charlie Puth,See You Again,Hip-Hop
4,Fetty Wap,Trap Queen,Hip-Hop
5,Maroon 5,Sugar,Pop
6,Walk The Moon,Shut Up and Dance,Alternative
7,Taylor Swift,Blank Space,Pop
8,Silento,Watch Me,R&B
9,Weeknd,Earned It (Fifty Shades Of Grey),R&B
10,Weeknd,The Hills,Hip-Hop
11,OMI,Cheerleader (Felix Jaehn Remix),Pop
12,Weeknd,Can't Feel My Face,R&B
13,Ellie Goulding,Love Me Like You Do,Pop
14,Hozier,Take Me To Church,Pop
15,Taylor Swift feat. Kendrick Lamar,Bad Blood,Pop
16,Major Lazer and DJ Snake feat. M0,Lean On,Pop
17,Jason Derulo,Want To Want Me,Pop
18,Taylor Swift,Shake It Off,Pop
19,Skrillex and Diplo With Justin Bieber,Where Are U Now,Electronic Dance
20,Rachel Platten,Fight Song,Pop
21,Fetty Wap feat. Remy Boyz,679,Hip-Hop
22,Meghan Trainor,Lips Are Movin,Pop
23,Fifth Harmony feat. Kid Ink,Worth It,Pop
24,Omarion feat. Chris Brown and Jhene Aiko,Post To Be,R&B
25,Andy Grammer,"Honey, I'm Good.",Pop
26,Sam Smith,I'm Not The Only One,Pop
27,Selena Gomez feat. A$AP Rocky,Good For You,Pop
28,Meghan Trainor,All About That Bass,Pop
29,Taylor Swift,Style,Pop
30,Drake,Hotline Bling,Hip-Hop
31,"David Guetta feat. Nicki Minaj, Bebe Rexha and Afrojack",Hey Mama,Electronic Dance
32,Flo Rida feat. Sage The Gemini and Lookas,G.D.F.R.,Electronic Dance
33,Justin Bieber,What Do You Mean?,Pop
34,Ed Sheeran,Photograph,Pop
35,Adele,Hello,Pop
36,Shawn Mendes,Stitches,Pop
37,Tove Lo,Talking Body,R&B
38,Nick Jonas,Jealous,Pop
39,Pitbull and Ne-Yo,Time Of Our Lives,Pop
40,R. City feat. Adam Levine,Locked Away,Pop
41,Natalie La Rose feat. Jeremih,Somebody,R&B
42,"Rihanna, Kanye West, and Paul McCartney",FourFiveSeconds,Pop
43,Fall Out Boy,Centuries,Rock
44,Fetty Wap feat. Monty,My Way,Hip-Hop
45,Sam Hunt,Take Your Time,Country
46,Maroon 5,Animals,Pop
47,Big Sean feat. E-40,I Don't F**k With You,Hip-Hop
48,Rihanna,B**** Better Have My Money,Pop
49,Rich Homie Quan,Flex (Ooh Ooh Ooh),Hip-Hop
50,T-Wayne,Nasty Freestyle,Hip-Hop
51,"Nicki Minaj feat. Drake, Lil Wayne and Chris Brown",Only,Hip-Hop
52,Sia,Elastic Heart,Pop
53,Demi Lovato,Cool For The Summer,Pop
54,X Ambassadors,Renegades,Alternative
55,Usher feat. Juicy J,I Don't Mind,R&B
56,Ariana Grande and The Weeknd,Love Me Harder,Pop
57,Taylor Swift,Wildest Dreams,Pop
58,Sam Smith,Stay With Me,Soul
59,DJ Snake and Alunageorge,You Know You Like It,Electronic
60,Fall Out Boy,Uma Thurman,Alternative
61,Beyonce,711,R&B
62,Selena Gomez,The Heart Wants What It Wants,Pop
63,Little Big Town,Girl Crush,Country
64,Trey Songz,Slow Motion,R&B
65,One Direction,Drag Me Down,Pop
66,Nicki Minaj feat. Drake and Lil Wayne,Truffle Butter,Hip-Hop
67,Ariana Grande,One Last Time,Pop
68,Nick Jonas,Chains,Pop
69,Meek Mill feat. Chris Brown and Nicki Minaj,All Eyes On You,R&B
70,Rae Sremmurd,No Type,Hip-Hop
71,Vance Joy,Riptide,Alternative
72,Jidenna feat. Roman GianArthur,Classic Man,Hip Hop
73,Elle King,Ex's and Oh's,Pop
74,Meghan Trainor,Dear Future Husband,Pop
75,Charlie Puth feat. Meghan Trainor,Marvin Gaye,Pop
76,Meghan Trainor feat. John Legend,Like I'm Gonna Lose You,Pop
77,Tove Lo,Habits (Stay High),Pop
78,James Newton Howard feat. Jennifer Lawrence,The Hanging Tree,Pop
79,O.T. Genasis,Coco,Hip-Hop
80,"Jessie J, Ariana Grande and Nicki Minaj",Bang Bang,Pop
81,Sam Smith,Lay Me Down,Pop
82,iLoveMakonnen feat. Drake,Tuesday,Hip-Hop
83,iLoveMemphis,Hit The Quan,Hip-Hop
84,"Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz",Downtown,Hip-Hop
85,Sam Hunt,House Party,Country
86,Chris Brown and Tyga,Ayo,Hip-Hop
87,Luke Bryan,Kick The Dust Up,Country
88,Big Sean feat. Drake,Blessings,Hip-Hop
89,George Ezra,Budapest,Rock
90,Sia,Chandelier,Pop
91,Kelly Clarkson,Heartbeat Song,Electronic Dance
92,Ed Sheeran,Don't,Pop
93,Ella Henderson,Ghost,R&B
94,Alessia Cara,Here,Pop
95,Mr. Probz,Waves,Hip-Hop
96,Nicky Jam and Enrique Iglesias,El Perdon (Forgiveness),Reggae
97,Ne-Yo feat. Juicy J,She Knows,Hip-Hop
98,One Direction,Night Changes,Pop
99,Drake,Back To Back,Hip-Hop
100,Calvin Harris and Disciples,How Deep Is Your Love,Electronic Dance
